league,party,party_int,amount
MLB,Republican,5,15149261
NBA,Republican,5,7983900
NHL,Republican,5,6831316
NFL,Republican,5,1732870
NASCAR,Republican,5,576110
WNBA,Republican,5,436109
NHL,Bipartisan - mostly Republican,4,12500
NASCAR,Bipartisan - mostly Republican,4,11000
MLB,Bipartisan - mostly Republican,4,35500
WNBA,Bipartisan - mostly Republican,4,87093
NBA,Bipartisan - mostly Republican,4,100000
NFL,Bipartisan - mostly Republican,4,5000
NBA,Bipartisan,3,84000
WNBA,Bipartisan,3,64000
NASCAR,Bipartisan,3,50000
NFL,Bipartisan,3,475650
MLB,Bipartisan,3,446833
NHL,Bipartisan,3,225466
MLB,Democrat,1,3456980
NBA,Democrat,1,2355939
NHL,Democrat,1,1595133
WNBA,Democrat,1,1556033
NFL,Democrat,1,549310
NASCAR,Democrat,1,93983
WNBA,NA,7,15000
NBA,NA,7,815000
MLB,NA,7,811250
NBA,Independent,6,13500
MLB,Independent,6,5400
NBA,Bipartisan - mostly Democrat,2,4800
MLB,Bipartisan - mostly Democrat,2,2000
NHL,Bipartisan - mostly Democrat,2,8800
